tree_id,block_id,species_group,latitude,longitude,health,tree_dbh,stump_diam,curb_loc,steward,sidewalk,address,zipcode,boroname,nta,nta_name
103411,103138,honeylocust,40.72731892,-73.98452778,Fair,2,0,OnCurb,1or2,NoDamage,99 ST MARKS PLACE,10009,Manhattan,MN22,East Village
396421,102553,Other,40.71454896,-73.9832895,Good,4,0,OnCurb,None,Damage,293 EAST BROADWAY,10002,Manhattan,MN28,Lower East Side
271415,101250,ginkgo,40.72335684,-73.99732056,Good,5,0,OnCurb,None,NoDamage,91 CROSBY STREET,10012,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
115044,104209,Sophora,40.73608658,-73.98803142,Fair,5,0,OnCurb,1or2,NoDamage,112 EAST 17 STREET,10003,Manhattan,MN21,Gramercy
35861,103428,Japanese zelkova,40.73904737,-74.00065882,Good,20,0,OnCurb,None,NoDamage,221 WEST 14 STREET,10011,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
67851,103457,Other,40.7420481,-73.99674078,Good,3,0,OnCurb,1or2,NoDamage,180 WEST 20 STREET,10011,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
118993,103281,ginkgo,40.73289305,-73.98824157,Good,9,0,OnCurb,1or2,Damage,139 EAST 13 STREET,10003,Manhattan,MN22,East Village
77345,101128,ginkgo,40.72120169,-73.99457583,Good,10,0,OnCurb,None,Damage,12 SPRING STREET,10012,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
27873,105404,Other,40.7377721,-73.98631825,Good,25,0,OnCurb,1or2,Damage,18 GRAMERCY PARK,10003,Manhattan,MN21,Gramercy
30669,101735,Callery pear,40.73134,-73.99250393,Poor,7,0,OnCurb,3or4,NoDamage,60 EAST 9 STREET,10003,Manhattan,MN23,West Village
30586,101844,Other,40.7330052,-73.99461562,Good,11,0,OnCurb,1or2,NoDamage,14 EAST 10 STREET,10003,Manhattan,MN23,West Village
235459,101372,Callery pear,40.72491783,-73.99907565,Good,8,0,OnCurb,None,NoDamage,103 PRINCE STREET,10012,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
25287,104246,London planetree,40.73831458,-73.994884,Good,16,0,OnCurb,None,NoDamage,39 WEST 16 STREET,10011,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
259564,102913,Other,40.72183019,-73.98286961,Good,11,0,OnCurb,None,Damage,214 EAST 2 STREET,10009,Manhattan,MN28,Lower East Side
48055,103489,ginkgo,40.74263351,-74.00175384,Good,8,0,OnCurb,None,NoDamage,319 WEST 18 STREET,10011,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
162818,103069,Other,40.72551633,-73.97866876,Good,2,0,OnCurb,1or2,NoDamage,641 EAST 9 STREET,10009,Manhattan,MN28,Lower East Side
72447,102730,Other,40.7173361,-73.99095714,Good,2,0,OnCurb,1or2,NoDamage,314 GRAND STREET,10002,Manhattan,MN27,Chinatown
221122,105456,Other,40.74110289,-73.97836087,Good,11,0,OffsetFromCurb,1or2,NoDamage,500 2 AVENUE,10016,Manhattan,MN20,Murray Hill-Kips Bay
29668,100263,Other,40.70798936,-74.00152583,Good,3,0,OnCurb,1or2,NoDamage,31 PECK SLIP,10038,Manhattan,MN25,Battery Park City-Lower Manhattan
260136,102119,London planetree,40.73721133,-74.00384808,Good,9,0,OnCurb,None,NoDamage,308 WEST 4 STREET,10014,Manhattan,MN23,West Village
33767,101707,Callery pear,40.73034589,-73.99381053,Good,4,0,OnCurb,3or4,NoDamage,295 MERCER STREET,10003,Manhattan,MN23,West Village
72788,102715,ginkgo,40.71694372,-73.9934885,Fair,4,0,OnCurb,1or2,NoDamage,66 FORSYTH STREET,10002,Manhattan,MN27,Chinatown
277305,100248,Other,40.70826413,-74.00458588,Good,4,0,OnCurb,None,NoDamage,50 FULTON STREET,10038,Manhattan,MN25,Battery Park City-Lower Manhattan
393827,103353,London planetree,40.7112387,-73.99712005,Good,26,0,OffsetFromCurb,None,NoDamage,60 CATHERINE STREET,10038,Manhattan,MN27,Chinatown
190781,103355,Other,40.71537863,-73.99642276,Fair,4,0,OnCurb,None,NoDamage,40 BOWERY,10002,Manhattan,MN27,Chinatown
27829,104256,Other,40.73884128,-73.99142652,Good,4,0,OnCurb,None,NoDamage,115 5 AVENUE,10003,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
84676,105274,honeylocust,40.73294458,-73.98110972,Good,4,0,OnCurb,1or2,NoDamage,282 1 AVENUE,10009,Manhattan,MN50,Stuyvesant Town-Cooper Village
